fixed.acidity,volatile.acidity,citric.acid,residua.sugar,alcohol,types
8.9,0.595,0.41,7.9,9.3,red wine
12.4,0.4,0.51,2.0,9.3,red wine
11.9,0.58,0.58,1.9,10.0,red wine
8.5,0.585,0.18,2.1,9.8,red wine
12.7,0.59,0.45,2.3,9.3,red wine
8.2,0.915,0.27,2.1,10.0,red wine
13.2,0.46,0.52,2.2,9.0,red wine
7.7,0.835,0.0,2.6,9.3,red wine
13.2,0.46,0.52,2.2,9.0,red wine
8.3,0.58,0.13,2.9,9.1,red wine
8.3,0.6,0.13,2.6,9.2,red wine
9.4,0.41,0.48,4.6,12.2,red wine
8.8,0.48,0.41,3.3,10.5,red wine
10.1,0.65,0.37,5.1,10.4,red wine
6.3,0.36,0.19,3.2,12.7,red wine
8.8,0.24,0.54,2.5,9.2,red wine
13.2,0.38,0.55,2.7,9.4,red wine
7.5,0.64,0.0,2.4,10.0,red wine
8.2,0.39,0.38,1.5,9.8,red wine
9.2,0.755,0.18,2.2,10.2,red wine
9.6,0.6,0.5,2.3,9.7,red wine
9.6,0.6,0.5,2.3,9.7,red wine
11.5,0.31,0.51,2.2,9.8,red wine
11.4,0.46,0.5,2.7,10.2,red wine
11.3,0.37,0.41,2.3,9.3,red wine
8.3,0.54,0.24,3.4,9.4,red wine
8.2,0.56,0.23,3.4,9.4,red wine
10.0,0.58,0.22,1.9,9.5,liqueur
7.9,0.51,0.25,2.9,12.1,liqueur
6.8,0.69,0.0,5.6,10.2,liqueur
6.8,0.69,0.0,5.6,10.2,liqueur
8.8,0.6,0.29,2.2,9.1,liqueur
8.8,0.6,0.29,2.2,9.1,liqueur
8.7,0.54,0.26,2.5,9.3,liqueur
7.6,0.685,0.23,2.3,9.3,liqueur
8.7,0.54,0.26,2.5,9.3,liqueur
10.4,0.28,0.54,2.7,9.5,liqueur
7.6,0.41,0.14,3.0,10.5,liqueur
10.1,0.935,0.22,3.4,11.3,liqueur
7.9,0.35,0.21,1.9,9.5,liqueur
8.7,0.84,0.0,1.4,9.7,liqueur
9.6,0.88,0.28,2.4,9.4,liqueur
9.5,0.885,0.27,2.3,9.4,liqueur
7.7,0.915,0.12,2.2,10.2,liqueur
8.9,0.29,0.35,1.9,10.3,liqueur
9.9,0.54,0.45,2.3,9.4,liqueur
9.5,0.59,0.44,2.3,9.5,liqueur
9.9,0.54,0.45,2.3,9.4,liqueur
9.5,0.59,0.44,2.3,9.5,liqueur
9.9,0.54,0.45,2.3,9.4,liqueur
7.8,0.64,0.1,6.0,10.1,liqueur
7.3,0.67,0.05,3.6,10.1,liqueur
8.3,0.845,0.01,2.2,11.0,liqueur
8.7,0.48,0.3,2.8,11.2,liqueur
6.7,0.42,0.27,8.6,11.3,liqueur
10.7,0.43,0.39,2.2,9.6,liqueur
9.8,0.88,0.25,2.5,11.2,liqueur
15.9,0.36,0.65,7.5,14.9,liqueur
9.4,0.33,0.59,2.8,12.0,liqueur
8.6,0.47,0.47,2.4,9.5,liqueur
9.7,0.55,0.17,2.9,9.4,liqueur
10.7,0.43,0.39,2.2,9.6,liqueur
12.0,0.5,0.59,1.4,10.5,liqueur
7.2,0.52,0.07,1.4,9.6,liqueur
7.1,0.84,0.02,4.4,11.0,liqueur
7.2,0.52,0.07,1.4,9.6,liqueur
7.5,0.42,0.31,1.6,9.0,liqueur
7.2,0.57,0.06,1.6,9.6,liqueur
10.1,0.28,0.46,1.8,10.2,liqueur
12.1,0.4,0.52,2.0,10.2,liqueur
9.4,0.59,0.14,2.0,9.7,liqueur
8.3,0.49,0.36,1.8,9.5,liqueur
11.3,0.34,0.45,2.0,9.2,liqueur
10.0,0.73,0.43,2.3,11.0,liqueur
11.3,0.34,0.45,2.0,9.2,liqueur
6.9,0.4,0.24,2.5,10.0,liqueur
8.2,0.73,0.21,1.7,9.5,liqueur
9.8,1.24,0.34,2.0,9.5,liqueur
8.2,0.73,0.21,1.7,9.5,liqueur
10.8,0.4,0.41,2.2,9.3,liqueur
9.3,0.41,0.39,2.2,10.2,liqueur
10.8,0.4,0.41,2.2,9.3,liqueur
8.6,0.8,0.11,2.3,9.9,liqueur
8.3,0.78,0.1,2.6,10.0,liqueur
10.8,0.26,0.45,3.3,9.6,liqueur
13.3,0.43,0.58,1.9,9.0,liqueur
8.0,0.45,0.23,2.2,10.2,liqueur
8.5,0.46,0.31,2.25,9.8,liqueur
8.1,0.78,0.23,2.6,11.3,liqueur
9.8,0.98,0.32,2.3,9.4,liqueur
8.1,0.78,0.23,2.6,11.3,liqueur
7.1,0.65,0.18,1.8,9.1,liqueur
9.1,0.64,0.23,3.1,9.7,liqueur
7.7,0.66,0.04,1.6,9.4,liqueur
8.1,0.38,0.48,1.8,9.4,liqueur
7.4,1.185,0.0,4.25,10.7,liqueur
9.2,0.92,0.24,2.6,9.8,liqueur
8.6,0.49,0.51,2.0,9.0,liqueur
9.0,0.48,0.32,2.8,9.4,liqueur
9.0,0.47,0.31,2.7,9.4,liqueur
5.1,0.47,0.02,1.3,12.8,liqueur
7.0,0.65,0.02,2.1,9.5,liqueur
7.0,0.65,0.02,2.1,9.5,liqueur
9.4,0.615,0.28,3.2,9.7,liqueur
11.8,0.38,0.55,2.1,10.8,liqueur
10.6,01.02,0.43,2.9,10.1,liqueur
7.0,0.65,0.02,2.1,9.5,liqueur
7.0,0.64,0.02,2.1,9.4,liqueur
7.5,0.38,0.48,2.6,9.6,liqueur
9.1,0.765,0.04,1.6,9.7,liqueur
8.4,1.035,0.15,6.0,9.9,liqueur
7.0,0.78,0.08,2.0,10.0,liqueur
7.4,0.49,0.19,3.0,10.5,liqueur
7.8,0.545,0.12,2.5,11.6,liqueur
9.7,0.31,0.47,1.6,10.0,liqueur
10.6,1.025,0.43,2.8,10.1,liqueur
8.9,0.565,0.34,3.0,9.5,liqueur
8.7,0.69,0.0,3.2,9.4,liqueur
8.0,0.43,0.36,2.3,9.4,liqueur
9.9,0.74,0.28,2.6,9.8,liqueur
7.2,0.49,0.18,2.7,9.2,liqueur
8.0,0.43,0.36,2.3,9.4,liqueur
7.6,0.46,0.11,2.6,10.0,liqueur
8.4,0.56,0.04,2.0,9.6,liqueur
7.1,0.66,0.0,3.9,9.5,liqueur
8.4,0.56,0.04,2.0,9.6,liqueur
8.9,0.48,0.24,2.85,9.2,liqueur
7.6,0.42,0.08,2.7,10.0,liqueur
7.1,0.31,0.3,2.2,9.5,liqueur
7.5,1.115,0.1,3.1,11.2,liqueur
9.0,0.66,0.17,3.0,10.4,liqueur
8.1,0.72,0.09,2.8,11.1,liqueur
6.4,0.57,0.02,1.8,9.5,liqueur
6.4,0.57,0.02,1.8,9.5,liqueur
6.4,0.865,0.03,3.2,12.7,liqueur
9.5,0.55,0.66,2.3,9.6,liqueur
8.9,0.875,0.13,3.45,11.5,liqueur
7.3,0.835,0.03,2.1,9.6,liqueur
7.0,0.45,0.34,2.7,9.5,liqueur
7.7,0.56,0.2,2.0,9.3,liqueur
7.7,0.965,0.1,2.1,9.5,liqueur
7.7,0.965,0.1,2.1,9.5,liqueur
8.2,0.59,0.0,2.5,9.3,liqueur
9.0,0.46,0.23,2.8,9.2,liqueur
9.0,0.69,0.0,2.4,9.3,liqueur
8.3,0.76,0.29,4.2,11.5,liqueur
9.2,0.53,0.24,2.6,9.5,liqueur
6.5,0.615,0.0,1.9,9.2,liqueur
11.6,0.41,0.58,2.8,10.0,liqueur
11.1,0.39,0.54,2.7,9.5,liqueur
7.3,0.51,0.18,2.1,9.5,liqueur
8.2,0.34,0.38,2.5,9.0,liqueur
8.6,0.33,0.4,2.6,9.4,liqueur
7.2,0.5,0.18,2.1,9.6,liqueur
7.3,0.51,0.18,2.1,9.5,liqueur
